id,time,intensity,velocity,tweet_count,weather_status,congestion
6639,14/09/2019 14:25,2940,77,75,partly-cloudy-day,1
6639,14/09/2019 14:30,2700,74,90,partly-cloudy-day,1
6639,14/09/2019 14:35,4020,71,69,partly-cloudy-day,1
6639,14/09/2019 14:40,3360,73,49,partly-cloudy-day,1
6639,14/09/2019 14:45,4140,68,63,partly-cloudy-day,1
6639,14/09/2019 14:50,3420,74,26,partly-cloudy-day,1
6639,14/09/2019 14:55,3180,78,48,partly-cloudy-day,1
6639,14/09/2019 15:00,2520,73,70,partly-cloudy-day,1
6639,14/09/2019 15:05,3120,77,61,partly-cloudy-day,1
6639,14/09/2019 15:10,2820,76,18,partly-cloudy-day,1
6639,14/09/2019 15:15,2820,77,56,partly-cloudy-day,1
6639,14/09/2019 15:20,2520,75,55,partly-cloudy-day,1
6639,14/09/2019 15:25,1800,82,51,partly-cloudy-day,1
6639,14/09/2019 15:30,2100,73,49,partly-cloudy-day,1
6639,14/09/2019 15:35,3060,77,48,partly-cloudy-day,1
6639,14/09/2019 15:40,1680,80,46,partly-cloudy-day,1
6639,14/09/2019 15:45,3120,75,50,partly-cloudy-day,1
6639,14/09/2019 15:50,2100,82,55,partly-cloudy-day,1
6639,14/09/2019 15:55,1920,77,47,partly-cloudy-day,1
6639,14/09/2019 16:00,2280,76,44,partly-cloudy-day,1
6639,14/09/2019 16:05,1860,74,50,partly-cloudy-day,1
6639,14/09/2019 16:10,2100,75,49,partly-cloudy-day,1
6639,14/09/2019 16:15,1860,74,44,partly-cloudy-day,1
6639,14/09/2019 16:20,2220,76,42,partly-cloudy-day,1
6639,14/09/2019 16:25,1860,76,35,partly-cloudy-day,1
6639,14/09/2019 16:30,2340,75,32,partly-cloudy-day,1
6639,14/09/2019 16:35,2640,80,38,partly-cloudy-day,1
6639,14/09/2019 16:40,2160,76,44,partly-cloudy-day,1
6639,14/09/2019 16:45,1740,82,30,partly-cloudy-day,1
6639,14/09/2019 16:50,3120,81,26,partly-cloudy-day,1
6639,14/09/2019 16:55,3120,76,34,partly-cloudy-day,1
6639,14/09/2019 17:00,3060,74,42,partly-cloudy-day,1
6639,14/09/2019 17:05,3300,74,43,partly-cloudy-day,1
6639,14/09/2019 17:10,2580,76,55,partly-cloudy-day,1
6639,14/09/2019 17:15,3900,70,48,partly-cloudy-day,1
6639,14/09/2019 17:20,2400,65,52,partly-cloudy-day,1
6639,14/09/2019 17:25,2460,75,41,partly-cloudy-day,1
6639,14/09/2019 17:30,3180,71,47,partly-cloudy-day,1
6639,14/09/2019 17:35,2760,72,43,partly-cloudy-day,1
6639,14/09/2019 17:40,2700,73,40,partly-cloudy-day,1
6639,14/09/2019 17:45,3600,75,59,partly-cloudy-day,1
6639,14/09/2019 17:50,3660,73,58,partly-cloudy-day,1
6639,14/09/2019 17:55,3360,79,44,partly-cloudy-day,1
6639,14/09/2019 18:00,2340,76,44,partly-cloudy-day,1
6639,14/09/2019 18:05,4800,75,48,partly-cloudy-day,1
6639,14/09/2019 18:10,2880,77,38,partly-cloudy-day,1
6639,14/09/2019 18:15,3900,75,43,partly-cloudy-day,1
6639,14/09/2019 18:20,3480,81,40,partly-cloudy-day,1
6639,14/09/2019 18:25,3900,76,65,partly-cloudy-day,1
6639,14/09/2019 18:30,2760,76,35,partly-cloudy-day,1
6639,14/09/2019 18:35,2640,80,52,partly-cloudy-day,1
6639,14/09/2019 18:40,2880,71,45,partly-cloudy-day,1
6639,14/09/2019 18:45,3540,74,56,partly-cloudy-day,1
6639,14/09/2019 18:50,3000,79,51,partly-cloudy-day,1
6639,14/09/2019 18:55,3840,65,71,partly-cloudy-day,1
6639,14/09/2019 19:00,2220,62,121,partly-cloudy-day,1
6639,14/09/2019 19:10,3480,70,51,partly-cloudy-day,1
6639,14/09/2019 19:15,3420,73,55,partly-cloudy-day,1
6639,14/09/2019 19:20,3300,72,48,partly-cloudy-day,1
6639,14/09/2019 19:25,3180,72,69,partly-cloudy-day,1
6639,14/09/2019 19:30,4020,73,49,partly-cloudy-day,1
6639,14/09/2019 19:35,3600,74,51,partly-cloudy-day,1
6639,14/09/2019 19:40,2760,75,49,partly-cloudy-day,1
6639,14/09/2019 19:45,3960,72,59,partly-cloudy-day,1
6639,14/09/2019 19:50,4740,70,66,partly-cloudy-day,1
6639,14/09/2019 19:55,3900,70,64,partly-cloudy-day,1
6639,14/09/2019 20:00,3960,70,50,partly-cloudy-day,1
6639,14/09/2019 20:05,3240,74,45,partly-cloudy-day,1
6639,14/09/2019 20:10,3660,68,54,partly-cloudy-day,1
6639,14/09/2019 20:15,4140,65,58,rain,1
6639,14/09/2019 20:20,4080,72,60,rain,1
6639,14/09/2019 20:25,4140,71,69,rain,1
6639,14/09/2019 20:30,3660,73,64,rain,1
6639,14/09/2019 20:35,3480,69,61,rain,1
6639,14/09/2019 20:40,3900,67,62,rain,1
6639,14/09/2019 20:45,3600,68,46,rain,1
6639,14/09/2019 20:50,3660,72,51,rain,1
6639,14/09/2019 20:55,4200,69,41,rain,1
6639,14/09/2019 21:00,3540,71,58,rain,1
6639,14/09/2019 21:05,4080,72,85,rain,1
6639,14/09/2019 21:10,3540,65,62,rain,1
6639,14/09/2019 21:15,4860,67,62,rain,1
6639,14/09/2019 21:20,3900,68,64,rain,1
6639,14/09/2019 21:25,3420,74,73,rain,1
6639,14/09/2019 21:30,3960,75,55,rain,1
6639,14/09/2019 21:35,3780,77,63,rain,1
6639,14/09/2019 21:40,3360,77,60,rain,1
6639,14/09/2019 21:45,3420,75,76,rain,1
6639,14/09/2019 21:50,2880,75,53,rain,1
6639,14/09/2019 21:55,2820,76,43,rain,1
6639,14/09/2019 22:00,2520,75,55,rain,1
6639,14/09/2019 22:05,2280,75,75,rain,1
6639,14/09/2019 23:00,1320,79,62,partly-cloudy-day,1
6639,14/09/2019 23:05,1200,86,43,partly-cloudy-day,1
6639,14/09/2019 23:10,2040,79,57,partly-cloudy-day,1
6639,14/09/2019 23:15,1560,77,41,partly-cloudy-day,1
6639,14/09/2019 23:20,1380,75,56,partly-cloudy-day,1
6639,14/09/2019 23:25,1980,76,48,partly-cloudy-day,1
6639,14/09/2019 23:30,1860,77,56,partly-cloudy-day,1
6639,14/09/2019 23:35,1260,72,60,partly-cloudy-day,1
6639,14/09/2019 23:40,1560,78,60,partly-cloudy-day,1
6639,14/09/2019 23:45,1560,76,55,partly-cloudy-day,1
6639,14/09/2019 23:50,1740,71,38,partly-cloudy-day,1
6639,14/09/2019 23:55,1320,76,60,partly-cloudy-day,1
