time,intensity,velocity,tweet_count,weather_status
26/09/2019 12:20,2177,66,47,
26/09/2019 12:25,2159,66,48,
26/09/2019 12:30,2122,66,49,
26/09/2019 12:35,2072,65,49,
26/09/2019 12:40,2018,64,50,
26/09/2019 12:45,1966,63,52,
26/09/2019 12:50,1941,62,55,
26/09/2019 12:55,1945,61,57,
26/09/2019 13:00,1956,60,58,
26/09/2019 13:05,1967,60,59,
26/09/2019 13:10,1979,61,59,
26/09/2019 13:15,1995,62,58,
26/09/2019 13:20,2023,63,57,
26/09/2019 13:25,2073,64,55,
26/09/2019 13:30,2118,64,55,
26/09/2019 13:35,2143,64,56,
26/09/2019 13:40,2172,64,56,
26/09/2019 13:45,2204,64,57,
26/09/2019 13:50,2214,63,58,
26/09/2019 13:55,2204,63,59,
26/09/2019 14:00,2201,62,60,
26/09/2019 14:05,2221,61,61,
26/09/2019 14:10,2229,60,62,
26/09/2019 14:15,2204,59,62,
26/09/2019 14:20,2177,59,62,
26/09/2019 14:25,2177,58,63,
26/09/2019 14:30,2192,58,64,
26/09/2019 14:35,2213,58,65,
26/09/2019 14:40,2209,59,66,
26/09/2019 14:45,2199,61,67,
26/09/2019 14:50,2161,62,67,
26/09/2019 14:55,2092,63,67,
26/09/2019 15:00,2013,63,67,
26/09/2019 15:05,1957,62,67,
26/09/2019 15:10,1902,61,67,
26/09/2019 15:15,1850,60,67,
26/09/2019 15:20,1802,59,67,
3/10/2019 7:00,1801,71,26,
3/10/2019 7:05,1798,70,24,
3/10/2019 7:10,1791,70,22,
3/10/2019 7:15,1779,69,21,
3/10/2019 7:20,1763,68,20,
3/10/2019 7:25,1735,67,21,
3/10/2019 7:30,1693,66,22,
3/10/2019 7:35,1642,66,23,
3/10/2019 7:40,1601,66,25,
3/10/2019 7:45,1579,66,26,
3/10/2019 7:50,1550,66,28,
3/10/2019 7:55,1506,67,30,
3/10/2019 8:00,1456,67,33,
3/10/2019 8:05,1426,67,35,
3/10/2019 8:10,1398,66,37,
3/10/2019 8:15,1372,65,39,
3/10/2019 8:20,1362,65,41,
3/10/2019 8:25,1376,65,41,
3/10/2019 8:30,1400,65,41,
3/10/2019 8:35,1416,66,41,
3/10/2019 8:40,1413,67,40,
3/10/2019 8:45,1393,68,40,
3/10/2019 8:50,1369,69,40,
3/10/2019 8:55,1377,70,39,
3/10/2019 9:00,1410,69,38,
3/10/2019 9:05,1449,69,40,
3/10/2019 9:10,1485,69,42,
3/10/2019 9:15,1544,69,44,
3/10/2019 9:20,1598,68,46,
3/10/2019 9:25,1614,68,47,
3/10/2019 9:30,1642,68,47,
3/10/2019 9:35,1681,68,48,
3/10/2019 9:40,1712,68,48,
3/10/2019 9:45,1767,67,48,
3/10/2019 9:50,1840,67,48,
3/10/2019 9:55,1904,67,48,
3/10/2019 10:00,1896,66,49,
3/10/2019 10:05,1883,66,49,
3/10/2019 10:10,1868,67,49,
3/10/2019 10:15,1829,67,49,
3/10/2019 10:20,1767,67,49,
3/10/2019 10:25,1751,66,48,
3/10/2019 10:30,1801,66,47,
3/10/2019 10:35,1865,66,46,
3/10/2019 10:40,1918,67,45,
3/10/2019 10:45,1981,67,45,
3/10/2019 10:50,2049,67,47,
3/10/2019 10:55,2102,68,48,
3/10/2019 11:00,2113,68,49,
3/10/2019 11:05,2122,67,50,
3/10/2019 11:10,2140,66,50,
3/10/2019 11:15,2167,66,50,
3/10/2019 11:20,2184,66,51,
3/10/2019 11:25,2207,66,53,
3/10/2019 11:30,2217,66,55,
3/10/2019 11:35,2215,66,56,
3/10/2019 11:40,2208,66,58,
3/10/2019 11:45,2213,66,59,
3/10/2019 11:50,2216,66,58,
3/10/2019 11:55,2224,66,55,
3/10/2019 12:00,2239,66,54,
3/10/2019 12:05,2266,66,53,
3/10/2019 12:10,2288,65,52,
3/10/2019 12:15,2281,65,51,
3/10/2019 12:20,2268,65,51,
3/10/2019 12:25,2259,64,52,
3/10/2019 12:30,2242,64,53,
3/10/2019 12:35,2216,63,54,
3/10/2019 12:40,2204,63,54,
3/10/2019 12:45,2197,63,53,
3/10/2019 12:50,2208,63,52,
3/10/2019 12:55,2219,63,52,
3/10/2019 13:00,2218,63,52,
3/10/2019 13:05,2232,63,54,
3/10/2019 13:10,2259,63,56,
3/10/2019 13:15,2271,63,58,
3/10/2019 13:20,2245,63,61,
3/10/2019 13:25,2180,64,63,
3/10/2019 13:30,2114,65,64,
3/10/2019 13:35,2059,65,63,
3/10/2019 13:40,2006,65,63,
3/10/2019 13:45,2007,65,62,
3/10/2019 13:50,2101,65,62,
3/10/2019 13:55,2227,63,62,
3/10/2019 14:00,2318,62,61,
3/10/2019 14:05,2381,61,60,
3/10/2019 14:10,2438,60,59,
3/10/2019 14:15,2448,60,58,
3/10/2019 14:20,2386,60,57,
3/10/2019 14:25,2320,60,56,
